document_id;source_file;source_link;question;content
0;1.txt;https://przybysz.duw.pl/en/faq-frequently-asked-questions/;Where can I submit the application form for issuance of work permit?; In the office headquarters At Delegation Offices of the Provincial Office of Lower Silesia in Jelenia Góra, Legnica or Wałbrzych Send by post to the office headquarters ’ address 
1;10.txt;https://przybysz.duw.pl/en/faq-frequently-asked-questions/;What should I inform the voivode about after obtaining the permission?;" The entity consigning work to the foreigner should notify the voivode who issued a permission for work within 7 days in a written form about the following circumstances : The foreigner began the work in different character or on different position than stated in the work permission. Employer may consign to the foreigner work of different character or on a different position than one determined in the permission for 30 days in a given calendar year, provided that the requirements to perform certain work are met ; There was a change in headquarters or address, name or private form of the entity consigning the foreigner the work or acquisition of the workplace or its part by other employer occurred. The workplace or its part was transferred onto another employer ; Foreign employer ’ s "
1;10.txt;https://przybysz.duw.pl/en/faq-frequently-asked-questions/;What should I inform the voivode about after obtaining the permission?;" a change in headquarters or address, name or private form of the entity consigning the foreigner the work or acquisition of the workplace or its part by other employer occurred. The workplace or its part was transferred onto another employer ; Foreign employer ’ s representative assigned to represent the employer before the voivode and other entities has changed ; The foreigner did not start working within 3 months from the initial validity date of the work permission ; The foreigner ceased to work for the period of time longer than 3 months ; The foreigner finished the work earlier than 3 months before the expiry date of the work permission. "
2;11.txt;https://przybysz.duw.pl/en/faq-frequently-asked-questions/;"Should the employer collect the work permision decision personally?
Must I provide the district head’s information about work permit in original?"; Work permit decision can be collected by a representative authorized by the employer. Employer may also request for the decision to be sent to the indicated address. It is obligatory within the procedure for issuance of work permission to enclose the original district head ’ s information. In case of the procedure for issuance of temporary residence permission a copy - original for insight will suffice. 
3;12.txt;https://przybysz.duw.pl/en/faq-frequently-asked-questions/;Can foreign students work in Poland?; Yes. Full - time students, regardless of whether they have or do not have their temporary residence permission or visa, can work on Polish territory without the necessity of obtaining work permission during the validity period of their stay allowance document ( visa or card ). Students of part - time programmes must have the work permission or registered declaration of work consignment to be able to work in Poland ( if they are citizens of Armenia, Belorussia, Georgia, Moldova, Russia or Ukraine ) regardless of having the visa or stay permission issued on account of education undertaken in Poland. 
4;13.txt;https://przybysz.duw.pl/en/faq-frequently-asked-questions/;"What are the consequences of illegal employing foreigner for the employer and of illegal
work for the foreigner?"; Both consigning illegal work to a foreigner and illegal performing of the work by the foreigner is an offence in light of law. The deed made by any person acting on behalf of the employer may be subject to a fine of 3000 PLN to 5000 PLN, while a foreigner may be charged with a fine of 1000 PLN to 5000 PLN 
5;14.txt;http://archiwalna.udsc.gov.pl/en/cudzoziemcy/obywatele-panstw-trzecich/chce-przyjechac-do-polski/czy-potrzebuje-wizy/;Do I need a visa to come to Poland? What are the rules for stay without a need to obtain visa?; Total stay on the territory of all member states of the Schengen area ( including Poland ) without the need to obtain visa cannot exceed 90 days within each 180 – day period. States of the Schengen area include : Austria, Belgium, Denmark, Finland, France, Greece, Spain, Luxembourg, the Netherlands, Germany, Portugal, Sweden, Italy, Estonia, Lithuania, Latvia, Malta, Poland, Czech Republic, Slovakia, Slovenia, Hungary, as well as Switzerland, Liechtenstein, Norway and Iceland ( the last 4 are Schengen countries that do not form part of the EU ). Note : UK, Ireland, Cyprus, Croatia, Bulgaria and Romania are member states of the EU but are not Schengen states. In the course of stay without the need to 
5;14.txt;http://archiwalna.udsc.gov.pl/en/cudzoziemcy/obywatele-panstw-trzecich/chce-przyjechac-do-polski/czy-potrzebuje-wizy/;Do I need a visa to come to Poland? What are the rules for stay without a need to obtain visa?; the last 4 are Schengen countries that do not form part of the EU ). Note : UK, Ireland, Cyprus, Croatia, Bulgaria and Romania are member states of the EU but are not Schengen states. In the course of stay without the need to obtain visa, a foreigner should meet the following conditions : have a valid travel document, be able to justify the purpose and conditions of the planned stay and have sufficient means of subsistence or a possibility of obtaining them in accordance with the law, not be a person for whom an alert has been issued in the SIS for the purposes of refusing them entry as well as is not considered to be a threat to public policy, internal security, public health or the international relations of any of 
5;14.txt;http://archiwalna.udsc.gov.pl/en/cudzoziemcy/obywatele-panstw-trzecich/chce-przyjechac-do-polski/czy-potrzebuje-wizy/;Do I need a visa to come to Poland? What are the rules for stay without a need to obtain visa?; law, not be a person for whom an alert has been issued in the SIS for the purposes of refusing them entry as well as is not considered to be a threat to public policy, internal security, public health or the international relations of any of the Member States of the European Union, and in particular not be a person for whom an alert has been issued on this basis for the purposes of refusing them entry in national databases of the member states. 
6;15.txt;http://archiwalna.udsc.gov.pl/en/cudzoziemcy/obywatele-panstw-trzecich/chce-przyjechac-do-polski/gdzie-uzyskac-wize/;Where to obtain a visa?; Visas are issued as Schengen or national visas by a Polish consul. In order to obtain a visa, the interested person should contact a proper Poland diplomatic post or consular office. Schengen Visa ( marked with C symbol ) – is issued when the planned stay on the territory of the Member States of the Schengen area does not exceed 90 days within each 180 - day period. National visa ( i. e. long - term – marked with D symbol ) – entitles to entry and a continuous stay in the territory of Poland or to several consecutive stays which jointly last longer than 90 days, the period of validity of a national visa cannot exceed 1 year. Territorial competence of a consul : According to Article 6 of the Community Code on Visas the 
